type,date,qty,strike,premiumPerContract
stage2_sell_put,2012-04-10,3.246601941747573,103,146.11192699084015
stage2_sell_call,2012-05-14,3.246601941747573,103,0.00002161800359342022
stage2_roll_call,2012-06-18,3.246601941747573,103,0.0022587937336788393
stage2_roll_call,2012-07-23,3.246601941747573,103,0.012634153811299977
stage2_roll_call,2012-08-27,3.246601941747573,103,0.36200174741900515
stage2_roll_call,2012-10-01,3.246601941747573,103,0.009295907856230953
stage2_roll_call,2012-11-05,3.246601941747573,103,0.000016820770037913186
stage2_roll_call,2012-12-10,3.246601941747573,103,0.00013925579782314186
stage2_roll_call,2013-01-14,3.246601941747573,103,0.01791217009101502
stage2_roll_call,2013-02-19,3.246601941747573,103,0.00460356484697107
stage2_roll_call,2013-03-25,3.246601941747573,103,0.002156931578069384
stage2_roll_call,2013-04-29,3.246601941747573,103,0.055285780903939485
stage2_roll_call,2013-06-03,3.246601941747573,103,0.660412166293492
stage2_roll_call,2013-07-08,3.246601941747573,103,1.4689171255328426
stage2_roll_call,2013-08-12,3.246601941747573,103,13.173013398696787
stage2_roll_call,2013-09-16,3.246601941747573,103,32.71640408768057
stage2_roll_call,2013-10-21,3.246601941747573,103,433.4623683015998
stage2_called_away,2013-11-25,,103,
stage2_sell_put,2014-01-13,4.257855959470002,107,146.03780971882614
stage2_sell_call,2014-02-18,4.257855959470002,107,0.02777638448578784
stage2_roll_call,2014-03-24,4.257855959470002,107,0.012634577275052409
stage2_roll_call,2014-04-28,4.257855959470002,107,0.037856491709504884
stage2_roll_call,2014-06-02,4.257855959470002,107,0.6813571583852179
stage2_roll_call,2014-07-07,4.257855959470002,107,2.4023801003688727
stage2_roll_call,2014-08-11,4.257855959470002,107,0.40107123054703153
stage2_roll_call,2014-09-15,4.257855959470002,107,6.239999190156964
stage2_roll_call,2014-10-20,4.257855959470002,107,2.140106913686357
stage2_roll_call,2014-11-24,4.257855959470002,107,382.60151323234766
stage2_roll_call,2014-12-29,4.257855959470002,107,476.9778776848298
stage2_roll_call,2015-02-02,4.257855959470002,107,141.0622244973954
stage2_called_away,2015-03-09,,107,
stage2_sell_put,2015-03-10,6.022348098851276,95,291.70786249126445
stage2_put_expired,2015-04-13,6.022348098851276,95,
stage2_sell_put,2015-04-17,6.257797182124353,95,203.99489325263465
stage2_put_expired,2015-05-20,6.257797182124353,95,
stage2_sell_put,2015-06-05,5.931310759456293,104,227.98160127559868
