type,date,qty,strike,premium
put_expired,2022-01-03,1,143,422.5337347613376
sell_put,2022-01-05,1,137,549.9165835370363
put_assigned,2022-02-07,1,137,
assignment_stop_loss,2022-02-07,1,,
sell_put,2023-02-21,1,21,149.18854082607967
put_expired,2023-03-27,1,21,149.18854082607967
sell_put,2023-04-25,1,23,103.3539584394374
put_expired,2023-05-30,1,23,103.3539584394374
sell_put,2023-08-04,1,38,125.56354959304113
put_expired,2023-09-06,1,38,125.56354959304113
sell_put,2023-09-15,1,37,128.6476508822817
put_assigned,2023-10-18,1,37,
sell_call,2023-10-18,1,37,224.65944909480663
shares_called_away,2023-11-20,1,37,
sell_put,2024-01-03,1,43,130.99743914762348
put_expired,2024-02-05,1,43,130.99743914762348
sell_put,2024-03-15,1,53,152.91759576067358
put_expired,2024-04-17,1,53,152.91759576067358
sell_put,2024-04-17,1,49,141.43151819812445
put_expired,2024-05-20,1,49,141.43151819812445
sell_put,2024-07-17,1,68,187.7655687596743
put_expired,2024-08-19,1,68,187.7655687596743
sell_put,2024-09-03,1,57,296.8301265645877
put_expired,2024-10-07,1,57,296.8301265645877
sell_put,2024-10-31,1,64,284.84164116307403
put_expired,2024-12-03,1,64,284.84164116307403
sell_put,2024-12-18,1,76,265.0708727816749
put_expired,2025-01-21,1,76,265.0708727816749
sell_put,2025-01-27,1,73,317.5673299829537
put_assigned,2025-03-03,1,73,
sell_call,2025-03-03,1,73,434.2147526889846
roll_call,2025-04-07,1,73,10.998640903525668
roll_call,2025-05-12,1,73,726.4200312955019
shares_called_away,2025-06-16,1,73,
sell_put,2025-08-01,1,76,177.36426135946778
put_expired,2025-09-03,1,76,177.36426135946778
sell_put,2025-10-10,1,89,179.6356298499827
put_expired,2025-11-12,1,89,179.6356298499827
sell_put,2025-11-13,1,96,287.0990200909638
put_assigned,2025-12-16,1,96,
sell_call,2025-12-16,1,96,0.07909056272211896
